-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
325,162
320,150
317,145
309,140
-1,-1
309,120
318,118
310,115
163,182
163,182
161,178
160,162
160,162
166,156
166,156
166,156
166,156
363,175
348,177
313,185
302,198
315,199
315,199
308,154
308,154
318,224
320,177
320,178
314,270
319,230
299,182
328,224
350,165
307,309
324,261
300,232
312,234
355,215
320,169
-1,-1
320,160
-1,-1
-1,-1
321,160
321,159
320,259
322,259
323,194
328,110
312,122
312,123
312,123
-1,-1
-1,-1
305,178
310,159
329,139
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
319,163
318,224
339,244
344,217
330,249
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
328,181
302,203
308,179
319,194
325,202
334,263
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
336,199
316,188
314,183
321,217
317,221
326,174
326,179
326,179
321,191
321,191
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
333,247
320,249
315,254
313,129
315,196
317,234
323,178
322,175
322,181
320,204
315,309
328,251
327,163
327,163
323,172
-1,-1
-1,-1
-1,-1
328,190
320,231
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
328,215
314,173
327,185
304,254
329,225
328,232
317,180
317,180
-1,-1
-1,-1
330,208
328,199
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
317,229
314,216
336,235
309,241
316,207
313,235
323,266
343,108
328,203
214,145
410,184
359,243
315,227
323,239
395,252
-1,-1
375,171
196,188
-1,-1
-1,-1
-1,-1
421,143
-1,-1
319,204
245,211
218,217
320,158
314,213
345,203
321,212
368,184
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
317,184
317,184
325,185
329,207
328,192
333,203
329,197
328,195
322,157
322,157
319,150
-1,-1
328,197
317,194
326,173
320,158
319,158
430,210
344,290
340,182
-1,-1
-1,-1
327,169
327,174
313,211
180,160
178,151
200,150
258,144
304,138
351,142
321,180
319,192
320,212
310,248
319,158
320,161
312,185
318,129
314,192
320,169
322,241
332,170
331,183
331,183
331,183
331,182
331,182
331,182
331,182
331,182
326,181
326,181
326,181
326,181
326,181
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
